@relation 'all-data-pacman-weka.filters.unsupervised.attribute.Reorder-R18-last,first-17-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute Northlegal=False numeric
@attribute Southlegal=False numeric
@attribute Eastlegal=False numeric
@attribute Westlegal=False numeric
@attribute NumDots numeric
@attribute PosX numeric
@attribute PosY numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2X numeric
@attribute Ghost2Y numeric
@attribute Ghost3X numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Ghost4Y numeric
@attribute DistGhost1 numeric
@attribute DistGhost2 numeric
@attribute DistGhost3 numeric
@attribute DistGhost4 numeric
@attribute Score numeric
@attribute Direction {East,West,North,South,Stop}

@data
0,0,0,0,1,14,6,10,6,2,13,5,1,7,1,4,19,0,0,380,West
0,0,0,0,1,13,6,9,6,3,13,5,1,7,1,4,17,0,0,379,West
0,0,0,0,1,12,6,8,6,3,12,5,1,7,1,4,15,0,0,378,West
0,0,0,0,1,11,6,9,6,3,11,5,1,7,1,2,13,0,0,377,West
0,0,0,0,1,10,6,8,6,4,11,5,1,7,1,2,11,0,0,376,West
0,0,0,0,1,9,6,8,6,5,11,5,1,7,1,1,9,0,0,375,West
0,0,0,0,1,8,6,1,1,6,11,5,1,7,1,0,7,0,0,574,North
0,0,0,0,1,8,7,1,1,6,11,5,1,7,1,0,6,0,0,573,North
0,0,0,0,1,8,8,1,1,6,11,5,1,7,1,0,5,0,0,572,North
0,0,0,0,1,8,9,1,1,6,12,5,1,7,1,0,5,0,0,571,North
0,0,0,0,1,8,10,1,1,7,12,5,1,7,1,0,3,0,0,570,North
0,0,0,0,1,8,11,1,1,6,12,5,1,7,1,0,3,0,0,569,North
0,0,0,0,1,8,12,1,1,7,12,5,1,7,1,0,1,0,0,568,West
1,0,0,1,2,1,11,6,5,6,9,8,11,14,6,11,7,7,18,0,South
0,0,1,1,2,1,10,6,5,6,9,8,11,14,6,10,6,8,17,-1,South
0,0,0,1,2,1,9,6,5,6,9,8,11,14,6,9,5,9,16,-2,East
1,0,0,0,2,2,9,6,5,6,9,8,11,14,6,10,4,8,15,-3,East
1,0,0,0,2,3,9,6,5,6,9,8,11,14,6,11,3,7,14,-4,East
1,0,0,0,2,4,9,6,5,6,9,8,11,14,6,10,2,6,13,-5,East
0,0,0,0,2,5,9,6,5,6,9,8,11,14,6,9,1,5,12,-6,East
0,0,0,0,2,6,9,6,5,3,1,8,11,14,6,8,0,4,11,193,North
0,0,1,0,2,6,10,6,5,3,1,8,11,14,6,9,0,3,12,192,North
